Year,County,Waterbody,Town,Month,Number,Species,Size (Inches)
2012,Franklin,Little Trout River,"Burke, Constable",April,2480,Brown Trout,8.1
2011,Herkimer,Md Settlement Lake,Webb,October,600,Brook Trout,4.4
2012,Ulster,Stony Kill,Rochester,May,310,Brook Trout,8.6
2015,Oneida,Black River,Forestport,April,860,Brown Trout,7.8
2013,Essex,Clear Pond,Ticonderoga,May,290,Brown Trout,8.5
2014,Hamilton,Rock Pond,Indian Lake,September,350,Brook Trout,3.7
2016,Wayne,Lake Ontario,Sodus,November,25390,Coho,5.1
2018,Essex,West Branch Ausable River,North Elba,May,600,Rainbow Trout,13
2018,Essex,Clear Pond,Ticonderoga,May,350,Brown Trout,8.2
2017,St Lawrence,Ozonia Lake,Hopkinton,May,2130,Splake,8.7
2014,Rockland,Stony Brook,Ramapo,April,180,Brown Trout,8.5
2016,Suffolk,Nissequogue River,Smithtown,March,200,Brown Trout,13.4
2014,Otsego,Otsdawa Creek,Otego,April,400,Brown Trout,7.8
2018,Cattaraugus,County Pond A,Randolph,March,100,Brook Trout,9
2017,Sullivan,Callicoon Ck North Branch,Callicoon,April,450,Brown Trout,8.8
2012,Ulster,Black Creek,Esopus,April,620,Brown Trout,8.8
2013,Allegany,Rushford Camp Pond,New Hudson,May,100,Brook Trout,9
2016,Broome,Arctic Lake,Sanford,April,2500,Rainbow Trout,9.4
2013,Ulster,Belleayre Snow-making Pond,Shandaken,September,100,Brown Trout,11.7
2017,Dutchess,Fishkill Creek,"Beacon, Fishkill",March,1320,Brown Trout,8.3
2013,Sullivan,Willowemoc Creek,Rockland,May,150,Brown Trout,13.4
2018,Hamilton,Benedict Creek,Inlet,May,300,Brook Trout,8
2012,Herkimer,West Canada Creek,"Fairfield, Herkimer, Newport",April,680,Brown Trout,12.8
2011,Oswego,Oneida Lake,NA,May,20000000,Walleye,0.4
2015,Cayuga,Lake Ontario,Sterling,May,30810,Brown Trout,7.6
2018,Essex,Hudson River,Newcomb,May,800,Brown Trout,12
2014,Hamilton,Sixth Lake,Inlet,June,1030,Rainbow Trout,9.6
2013,Sullivan,Callicoon Creek,Delaware,April,580,Brown Trout,8.5
2013,Franklin,Little Pine Pond,Harrietstown,October,150,Brook Trout,3.9
2018,Steuben,Cohocton River,Avoca,March,300,Brown Trout,12.8
2012,Hamilton,Lake Pleasant,Lk Pleasant,August,23000,Walleye,4.2
2014,Dutchess,Fishkill Creek,"Beacon, Fishkill",April,180,Brown Trout,8.6
2014,Cattaraugus,Birch Run Pond #1,Allegany,April,200,Brook Trout,8.9
2016,Chautauqua,Goose Creek,"N Harmony, Harmony",March,300,Brown Trout,13.6
2014,Broome,Nanticoke Creek,Maine,May,180,Brown Trout,10
2014,Dutchess,Fishkill Creek,"Beacon, Fishkill",March,150,Brown Trout,13.8
2012,Essex,Boreas River,Minerva,April,300,Brown Trout,14
2012,Oswego,Little Salmon River,Mexico,April,5000,Steelhead,6
2013,Essex,Bear Pond,Ticonderoga,September,400,Brook Trout,3.7
2014,Sullivan,White Lake,Bethel,May,1600,Lake Trout,9
2011,Cayuga,Owasco Inlet,Locke,October,20000,Rainbow Trout,2.9
2012,Dutchess,Sprout Creek,East Fishkill,March,2040,Brown Trout,8.5
2013,Columbia,Kinderhook Creek,New Lebanon,May,150,Brown Trout,11.9
2014,Cattaraugus,Mansfield Creek,Mansfield,March,100,Brown Trout,13.8
2018,Monroe,Irondequoit Creek,Pittsford,June,700,Brown Trout,8.2
2012,Albany,Lisha Kill,Colonie,April,350,Brown Trout,7.9
2018,Chautauqua,Canadaway Creek,Dunkirk,October,1200,Rainbow Trout,6.3
2011,Essex,Bass Lake,North Hudson,June,400,Rainbow Trout,7.9
2017,Madison,T32 of E. BranchTioughnioga Riv.,De Ruyter,March,450,Brown Trout,8
2015,Columbia,Kinderhook Creek,New Lebanon,May,400,Brown Trout,13.5
2015,Tompkins,Cayuga Lake,Ithaca (T),April,8560,Brown Trout,9.1
2018,Allegany,Chenunda Creek,Willing,April,260,Brown Trout,9
2011,Allegany,Belmont Rod and Gun Club Pond,West Almond,April,90,Brook Trout,9.6
2016,Chautauqua,Conewango Creek,"Kiantone, Carroll, Poland",October,1100,Muskellunge,8.7
2015,Onondaga,Nine mile creek,NA,March,550,Brown Trout,12.5
2018,Suffolk,Nissequogue River,Smithtown,November,100,Brown Trout,11.5
2017,Chautauqua,Lake Erie,Sheridan,April,8090,Brown Trout,8.4
2018,Suffolk,Carmans River,Brookhaven,April,130,Rainbow Trout,9
2016,Lewis,Otter Creek,Greig,January,2230,Brown Trout,8
2013,Delaware,Delaware River East Branch,Middletown,April,1240,Brown Trout,8.4
2011,Cayuga,Duck Lake,Conquest,September,700,Tiger Muskellunge,10.7
2014,Hamilton,Jessup River,Lake Pleasant,September,1000,Landlocked Salmon,5.6
2012,Niagara,Lake Ontario,Newfane,May,11090,Brown Trout,8.7
2017,Essex,Boreas River,North Hudson,April,150,Rainbow Trout,13
2015,Hamilton,Lake Eaton,Long Lake,May,2500,Lake Trout,6.3
2015,Monroe,Irondequoit Bay,"IRONDEQUOIT, PENFIELD, WEBSTER",June,36000,Walleye,1.4
2016,Ulster,Sawkill Creek,Woodstock,May,170,Brown Trout,9
2017,Delaware,Little Pond,Andes,May,200,Brown Trout,13.1
2014,Rensselaer,Kinderhook Creek,Stephentown,May,860,Brown Trout,8.3
2013,Westchester,Cross River Reservoir Outlet,Bedford,March,100,Brown Trout,13.3
2015,Essex,Clear Pond,Ticonderoga,May,340,Brown Trout,7.9
2012,Columbia,Claverack Creek,Claverack,May,2220,Brown Trout,8.2
2013,Jefferson,Black River,Watertown,May,1400,Brown Trout,13.2
2018,Clinton,North Branch Great Chazy River,Mooers,April,1350,Brown Trout,8.4
2017,Onondaga,Nine Mile,NA,May,800,Brown Trout,12.7
2016,Essex,Fivemile Creek,Ticonderoga,March,100,Brown Trout,12
2013,Dutchess,Sprout Creek,East Fishkill,April,550,Brown Trout,8.7
2012,Onondaga,Seneca River,Van Buren,September,6800,Tiger Muskellunge,10.4
2013,Allegany,Dyke Creek,Andover,April,1240,Brown Trout,8.9
2013,Rensselaer,Kinderhook Creek,Nassau,May,2110,Brown Trout,8.4
2013,Dutchess,Roeliff Jansen Kill,Milan,March,400,Brown Trout,13
2014,Allegany,Genesee River,Amity,April,3145,Brown Trout,9
